"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-10 14:22:40";0
"2022-05-10 14:22:59";;0
"2022-05-10 14:30:59";;;3,3
"2022-05-10 14:34:46";0
"2022-05-10 14:35:05";;0
"2022-05-10 14:43:03";;;3,4
"2022-05-10 14:46:50";0
"2022-05-10 14:47:09";;0
"2022-05-10 14:55:07";;;3,8
"2022-05-10 14:58:57";0
"2022-05-10 14:59:13";;0
"2022-05-10 15:07:12";;;4,6
"2022-05-10 15:10:59";0
"2022-05-10 15:11:18";;0
"2022-05-10 15:19:17";;;3,1
"2022-05-10 15:23:03";0
"2022-05-10 15:23:23";;0
"2022-05-10 15:31:22";;;3,5
"2022-05-10 15:35:08";0
"2022-05-10 15:35:28";;0
"2022-05-10 15:43:27";;;3,7
"2022-05-10 15:47:13";0
"2022-05-10 15:47:34";;0
"2022-05-10 15:55:31";;;3,1
"2022-05-10 15:59:19";0
"2022-05-10 15:59:37";;0
"2022-05-10 16:07:37";;;3,8
"2022-05-10 16:11:22";0
"2022-05-10 16:11:41";;0
"2022-05-10 16:19:41";;;4
"2022-05-10 16:23:27";0
"2022-05-10 16:23:46";;0
"2022-05-10 16:31:45";;;2,6
"2022-05-10 16:35:32";0
"2022-05-10 16:35:50";;0
"2022-05-10 16:43:49";;;2,8
"2022-05-10 16:47:35";0
"2022-05-10 16:47:55";;0
"2022-05-10 16:55:53";;;3,2
"2022-05-10 16:59:42";0
"2022-05-10 16:59:59";;0
"2022-05-10 17:07:58";;;3,1
"2022-05-10 17:11:46";0
"2022-05-10 17:12:06";;0
"2022-05-10 17:20:04";;;2,8
"2022-05-10 17:23:51";0
"2022-05-10 17:24:09";;0
"2022-05-10 17:32:09";;;2,9
"2022-05-10 17:35:55";0
"2022-05-10 17:36:14";;0
"2022-05-10 17:44:14";;;3,4
"2022-05-10 17:48:00";0
"2022-05-10 17:48:18";;0
"2022-05-10 17:56:19";;;2,8
"2022-05-10 18:00:05";0
"2022-05-10 18:00:23";;0
"2022-05-10 18:08:23";;;2,5
"2022-05-10 18:12:11";0
"2022-05-10 18:12:28";;0
"2022-05-10 18:20:26";;;3,3
"2022-05-10 18:24:15";0
"2022-05-10 18:24:32";;0
"2022-05-10 18:32:31";;;2,5
"2022-05-10 18:36:19";0
"2022-05-10 18:36:37";;0
"2022-05-10 18:44:35";;;2,8
"2022-05-10 18:48:23";0
"2022-05-10 18:48:42";;0
"2022-05-10 18:56:40";;;2,7
"2022-05-10 19:00:29";0
"2022-05-10 19:00:47";;0
"2022-05-10 19:08:45";;;3,8
"2022-05-10 19:12:33";0
"2022-05-10 19:12:52";;0
"2022-05-10 19:20:49";;;2,7
"2022-05-10 19:24:38";0
"2022-05-10 19:24:56";;0
"2022-05-10 19:32:54";;;2,9
"2022-05-10 19:36:42";0
"2022-05-10 19:37:02";;0
"2022-05-10 19:44:58";;;2,8
"2022-05-10 19:48:48";0
"2022-05-10 19:49:06";;0
"2022-05-10 19:57:02";;;3,4
"2022-05-10 20:00:53";0
"2022-05-10 20:01:11";;0
"2022-05-10 20:09:06";;;4,7
"2022-05-10 20:12:57";0
"2022-05-10 20:13:15";;0
"2022-05-10 20:21:12";;;2,7
"2022-05-10 20:25:04";0
"2022-05-10 20:25:20";;0
"2022-05-10 20:33:15";;;3,4
"2022-05-10 20:37:06";0
"2022-05-10 20:37:26";;0
"2022-05-10 20:45:20";;;3,9
"2022-05-10 20:49:10";0
"2022-05-10 20:49:29";;0
"2022-05-10 20:57:25";;;3,4
"2022-05-10 21:01:16";0
"2022-05-10 21:01:35";;0
"2022-05-10 21:09:28";;;3,7
"2022-05-10 21:13:21";0
"2022-05-10 21:13:39";;0
"2022-05-10 21:21:32";;;4,8
"2022-05-10 21:25:26";0
"2022-05-10 21:25:45";;0
"2022-05-10 21:33:36";;;5,3
"2022-05-10 21:37:29";0
"2022-05-10 21:37:50";;0
"2022-05-10 21:45:42";;;3,5
"2022-05-10 21:49:35";0
"2022-05-10 21:49:55";;0
"2022-05-10 21:57:46";;;3,2
"2022-05-10 22:01:40";0
"2022-05-10 22:01:58";;0
"2022-05-10 22:09:50";;;3,6
"2022-05-10 22:13:43";0
"2022-05-10 22:14:04";;0
"2022-05-10 22:21:55";;;3,9
"2022-05-10 22:25:49";0
"2022-05-10 22:26:09";;0
"2022-05-10 22:34:00";;;3,2
"2022-05-10 22:37:54";0
"2022-05-10 22:38:14";;0
"2022-05-10 22:46:05";;;5
"2022-05-10 22:49:59";0
"2022-05-10 22:50:18";;0
"2022-05-10 22:58:09";;;4,4
"2022-05-10 23:02:05";0
"2022-05-10 23:02:23";;0
"2022-05-10 23:10:16";;;3,8
"2022-05-10 23:14:09";0
"2022-05-10 23:14:27";;0
"2022-05-10 23:22:19";;;4,2
"2022-05-10 23:26:13";0
"2022-05-10 23:26:33";;0
"2022-05-10 23:34:22";;;3,7
"2022-05-10 23:38:18";0
"2022-05-10 23:38:37";;0
"2022-05-10 23:46:28";;;3,9
"2022-05-10 23:50:23";0
"2022-05-10 23:50:43";;0
"2022-05-10 23:58:32";;;3,3
"2022-05-11 00:02:28";0
"2022-05-11 00:02:47";;0
"2022-05-11 00:10:37";;;4,3
"2022-05-11 00:14:32";0
"2022-05-11 00:14:53";;0
"2022-05-11 00:22:41";;;4,4
"2022-05-11 00:26:37";0
"2022-05-11 00:26:57";;0
"2022-05-11 00:34:47";;;3,1
"2022-05-11 00:38:41";0
"2022-05-11 00:39:01";;0
"2022-05-11 00:46:50";;;4,3
"2022-05-11 00:50:46";0
"2022-05-11 00:51:06";;0
"2022-05-11 00:58:55";;;4,8
"2022-05-11 01:02:51";0
"2022-05-11 01:03:11";;0
"2022-05-11 01:10:59";;;2,9
"2022-05-11 01:14:55";0
"2022-05-11 01:15:15";;0
"2022-05-11 01:23:04";;;3,7
"2022-05-11 01:27:01";0
"2022-05-11 01:27:21";;0
"2022-05-11 01:35:08";;;3,3
"2022-05-11 01:39:05";0
"2022-05-11 01:39:27";;0
"2022-05-11 01:47:11";;;4
"2022-05-11 01:51:10";0
"2022-05-11 01:51:29";;0
"2022-05-11 01:59:15";;;3,9
"2022-05-11 02:03:15";0
"2022-05-11 02:03:35";;0
"2022-05-11 02:11:20";;;3,3
"2022-05-11 02:15:20";0
"2022-05-11 02:15:39";;0
"2022-05-11 02:23:25";;;4,2
"2022-05-11 02:27:23";0
"2022-05-11 02:27:45";;0
"2022-05-11 02:35:29";;;3,2
"2022-05-11 02:39:29";0
"2022-05-11 02:39:50";;0
"2022-05-11 02:47:34";;;3,1
"2022-05-11 02:51:33";0
"2022-05-11 02:51:54";;0
"2022-05-11 02:59:37";;;3,8
"2022-05-11 03:03:37";0
"2022-05-11 03:03:58";;0
"2022-05-11 03:11:43";;;2,5
"2022-05-11 03:15:42";0
"2022-05-11 03:16:03";;0
"2022-05-11 03:23:46";;;3,1
"2022-05-11 03:27:48";0
"2022-05-11 03:28:09";;0
"2022-05-11 03:35:53";;;3,9
