"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-10 21:49:55";;34,33594
"2022-05-10 21:57:46";;;32,37207
"2022-05-10 22:01:40";32,42578
"2022-05-10 22:01:58";;34,58984
"2022-05-10 22:09:50";;;32,67578
"2022-05-10 22:13:43";32,57617
"2022-05-10 22:14:04";;34,79297
"2022-05-10 22:21:55";;;32,85156
"2022-05-10 22:25:49";32,82031
"2022-05-10 22:26:09";;34,88281
"2022-05-10 22:34:00";;;33,3457
"2022-05-10 22:37:54";33,10254
"2022-05-10 22:38:14";;35,21777
"2022-05-10 22:46:05";;;33,77246
"2022-05-10 22:49:59";32,9248
"2022-05-10 22:50:18";;35,19922
"2022-05-10 22:58:09";;;33,66992
"2022-05-10 23:02:05";33,18652
"2022-05-10 23:02:23";;35,29395
"2022-05-10 23:10:16";;;33,49414
"2022-05-10 23:14:09";33,36914
"2022-05-10 23:14:27";;35,66309
"2022-05-10 23:22:19";;;33,52051
"2022-05-10 23:26:13";33,43945
"2022-05-10 23:26:33";;35,68164
"2022-05-10 23:34:22";;;34,21875
"2022-05-10 23:38:18";33,87305
"2022-05-10 23:38:37";;36,05957
"2022-05-10 23:46:28";;;34,30566
"2022-05-10 23:50:23";33,60059
"2022-05-10 23:50:43";;35,9082
"2022-05-10 23:58:32";;;34,40527
"2022-05-11 00:02:28";33,93066
"2022-05-11 00:02:47";;36,13672
"2022-05-11 00:10:37";;;34,0791
"2022-05-11 00:14:32";33,96387
"2022-05-11 00:14:53";;36,21289
"2022-05-11 00:22:41";;;34,29102
"2022-05-11 00:26:37";34,28418
"2022-05-11 00:26:57";;36,74316
"2022-05-11 00:34:47";;;34,61523
"2022-05-11 00:38:41";34,34082
"2022-05-11 00:39:01";;36,59082
"2022-05-11 00:46:50";;;35,24414
"2022-05-11 00:50:46";34,42773
"2022-05-11 00:51:06";;36,63574
"2022-05-11 00:58:55";;;34,96777
"2022-05-11 01:02:51";34,64746
"2022-05-11 01:03:11";;36,83594
"2022-05-11 01:10:59";;;35,5332
"2022-05-11 01:14:55";35,29395
