"DateTime";"Arg12b1f";"Arg12b2f";"Arg12b3f"
"2022-05-04 16:14:44";;-159,8144
"2022-05-04 16:26:16";;;-436,0039
"2022-05-04 16:26:42";-290,7492
"2022-05-04 16:26:48";;-159,6001
"2022-05-04 16:38:22";;;-440,8281
"2022-05-04 16:38:46";-291,5755
"2022-05-04 16:38:54";;-121,135
"2022-05-04 16:50:25";;;-441,4346
"2022-05-04 16:50:52";-290,5777
"2022-05-04 16:50:58";;-160,1521
"2022-05-04 17:02:29";;;-499,0968
"2022-05-04 17:02:56";-345,6331
"2022-05-04 17:03:04";;-159,2945
"2022-05-04 17:14:35";;;-495,0689
"2022-05-04 17:15:03";-342,2305
"2022-05-04 17:15:07";;-197,6541
"2022-05-04 17:26:40";;;-497,7002
"2022-05-04 17:27:07";-338,6656
"2022-05-04 17:27:13";;-198,6849
"2022-05-04 17:38:42";;;-497,5798
"2022-05-04 17:39:11";-337,212
"2022-05-04 17:39:18";;-198,142
"2022-05-04 17:50:48";;;-557,994
"2022-05-04 17:51:15";-390,9237
"2022-05-04 17:51:22";;-198,4441
"2022-05-04 18:02:52";;;-558,3208
"2022-05-04 18:03:21";-335,7749
"2022-05-04 18:03:28";;-197,6431
"2022-05-04 18:14:57";;;-490,361
"2022-05-04 18:15:26";-335,4473
"2022-05-04 18:15:34";;-235,6834
"2022-05-04 18:27:00";;;-482,5179
"2022-05-04 18:27:31";-335,5107
"2022-05-04 18:27:37";;-237,631
"2022-05-04 18:39:04";;;-541,8062
"2022-05-04 18:39:34";-390,1864
"2022-05-04 18:39:41";;-235,6189
"2022-05-04 18:51:09";;;-541,9954
"2022-05-04 18:51:39";-391,3818
"2022-05-04 18:51:47";;-276,4852
"2022-05-04 19:03:13";;;-542,5015
"2022-05-04 19:03:44";-392,2792
"2022-05-04 19:03:51";;-275,8332
"2022-05-04 19:15:18";;;-603,1627
"2022-05-04 19:15:51";-445,5534
"2022-05-04 19:15:55";;-314,2618
"2022-05-04 19:27:23";;;-601,7753
"2022-05-04 19:27:53";-445,4695
"2022-05-04 19:28:01";;-313,6275
"2022-05-04 19:39:29";;;-602,8773
"2022-05-04 19:40:00";-444,3917
"2022-05-04 19:40:05";;-312,7006
"2022-05-04 19:51:33";;;-598,3539
"2022-05-04 19:52:04";-446,7313
"2022-05-04 19:52:10";;-315,8034
"2022-05-04 20:03:37";;;-598,0198
"2022-05-04 20:04:08";-445,9095
"2022-05-04 20:04:15";;-314,9283
"2022-05-04 20:15:41";;;-601,0338
"2022-05-04 20:16:13";-445,6234
"2022-05-04 20:16:22";;-313,347
"2022-05-04 20:27:45";;;-602,0383
"2022-05-04 20:28:17";-445,9364
"2022-05-04 20:28:25";;-317,0016
"2022-05-04 20:39:50";;;-600,7222
"2022-05-04 20:40:22";-445,7309
"2022-05-04 20:40:33";;-312,6348
"2022-05-04 20:51:55";;;-659,2307
"2022-05-04 20:52:29";-500,319
"2022-05-04 20:52:34";;-313,1279
"2022-05-04 21:03:58";;;-660,9871
"2022-05-04 21:04:32";-502,1274
"2022-05-04 21:04:38";;-348,8391
"2022-05-04 21:16:03";;;-660,6573
"2022-05-04 21:16:38";-498,873
"2022-05-04 21:16:43";;-350,6394
"2022-05-04 21:28:09";;;-665,2086
